,Name,Gender,Matches,Wins,Win Rate %,Age
15,MANOLE Alexandru (ROU),Male,483,269,55.69,27
16,CHEN Xingtong (CHN),Female,342,269,78.65,27
17,LI Tiago (POR),Male,446,269,60.31,22
18,BARDET Lilian (FRA),Male,404,269,66.58,24
19,ALGUETTI Sharon (USA),Male,385,268,69.61,23
20,ROLLAND Jules (FRA),Male,411,267,64.96,24
21,GHALLAB Aly (EGY),Male,386,266,68.91,28
22,CLAPA Andreea (ROU),Female,398,266,66.83,26
23,REMBERT Bastien (FRA),Male,407,266,65.36,24
24,MENG Fanbo (GER),Male,422,266,63.03,24
0,YOSHIYAMA Kazuki (JPN),Male,343,266,77.55,17
1,JIANG Tianyi (HKG),Male,444,265,59.68,37
2,KUSINSKA Klaudia (POL),Female,436,265,60.78,32
3,RAMIREZ Sara (ESP),Female,465,265,56.99,37
4,NAUMI Alex (FIN),Male,489,265,54.19,23
5,SHIOMI Maki (JPN),Female,377,265,70.29,24
6,SINGEORZAN Ioana (ROU),Female,405,265,65.43,21
7,JAKAB Janos (HUN),Male,435,264,60.69,38
8,THERIAULT Pierre-Luc (CAN),Male,436,264,60.55,31
9,WEGRZYN Katarzyna (POL),Female,460,264,57.39,24
10,KANAMITSU Koyo (JPN),Male,387,264,68.22,24
11,HAUG Borgar (NOR),Male,431,264,61.25,22
12,XIANG Peng (CHN),Male,310,264,85.16,22
13,YANG Zi (SGP),Male,461,263,57.05,40
14,DARCIS Thibaut (BEL),Male,499,263,52.71,26
15,RYUZAKI Tonin (JPN),Male,398,263,66.08,26
16,BENTANCOR Martin (ARG),Male,397,263,66.25,24
17,ARVELO Gremlis (VEN),Female,409,262,64.06,28
18,MOSTAFAVI Leili (FRA),Female,421,262,62.23,25
19,REDZIMSKI Milosz (POL),Male,361,262,72.58,18
20,JIANG Huajun (HKG),Female,437,261,59.73,40
21,MATELOVA Hana (CZE),Female,485,261,53.81,34
22,PAIKOV Mikhail (AIN),Male,430,261,60.70,35
23,TOGAMI Shunsuke (JPN),Male,380,261,68.68,23
24,KUAI Man (CHN),Female,309,261,84.47,21
0,HARTBRICH Leonie (HUN),Female,517,260,50.29,25
1,LAFFINEUR Louis (BEL),Male,409,260,63.57,20
2,DURAN Marc (ESP),Male,445,259,58.20,38
3,PERSSON Jon (SWE),Male,419,259,61.81,38
4,CHENG Hsien-Tzu (TPE),Female,470,259,55.11,31
5,VILCHEZ Miguel (ESP),Male,462,259,56.06,28
6,KATO Yuko (JPN),Female,372,259,69.62,26
7,CHEN Weixing (AUT),Male,418,258,61.72,52
8,BOGDANOVA Nadezhda (AIN),Female,514,258,50.19,24
9,LEI Balazs (HUN),Male,393,258,65.65,18
10,HMAM Adam (TUN),Male,401,257,64.09,30
11,OH Sangeun (KOR),Male,380,257,67.63,47
12,BIKBAEVA Anna (AIN),Female,387,257,66.41,30
13,LI Hon Ming (HKG),Male,479,257,53.65,29
14,IVONIN Denis (AIN),Male,398,257,64.57,25
15,HO Kwan Kit (HKG),Male,440,257,58.41,27
16,SHINOZUKA Hiroto (JPN),Male,364,257,70.60,21
17,GOLOVANOV Stanislav (BUL),Male,467,256,54.82,36
18,TODOROVIC Andrea (SRB),Female,461,256,55.53,32
19,ABUSEV Artur (AIN),Male,388,256,65.98,25
20,SHAH Manush (IND),Male,399,256,64.16,24
21,FEGERL Stefan (AUT),Male,452,255,56.42,36
22,IACOB Camelia (ROU),Female,400,255,63.75,32
23,GARCI Fadwa (TUN),Female,483,254,52.59,23
24,FERNANDEZ Carlos (PER),Male,380,254,66.84,21
0,BERZOSA Maria (ESP),Female,406,254,62.56,17
1,HODINA Petr (AUT),Male,405,254,62.72,16
2,SALEH Ahmed (EGY),Male,398,253,63.57,45
3,ENGEMANN Gerrit (GER),Male,375,252,67.20,25
4,SU Pei-Ling (TPE),Female,380,252,66.32,25
5,SZANTOSI David (HUN),Male,388,252,64.95,18
6,HOCHART Leana (FRA),Female,353,252,71.39,16
7,KISHIKAWA Seiya (JPN),Male,403,251,62.28,37
8,HOHMEIER Nils (GER),Male,426,250,58.69,27
9,KIM Minhyeok (KOR),Male,359,249,69.36,28
10,CLOSSET Tom (BEL),Male,407,248,60.93,19
11,GERELL Par (SWE),Male,399,247,61.90,42
12,PICARD Vincent (FRA),Male,383,247,64.49,23
13,LUTZ Camille (FRA),Female,417,247,59.23,22
14,NAGYVARADI Mercedes (HUN),Female,438,246,56.16,30
15,BERGLUND Simon (SWE),Male,372,246,66.13,27
16,HUANG Yu-Wen (TPE),Female,419,246,58.71,28
17,SER Lin Qian (SGP),Female,401,246,61.35,18
18,ODO Satsuki (JPN),Female,343,246,71.72,20
19,NEUMANN Josephina (GER),Female,389,246,63.24,15
20,FLORO Damian (SVK),Male,373,246,65.95,16
21,KOSIBA Daniel (HUN),Male,414,245,59.18,33
22,TAKAKIWA Taku (JPN),Male,360,245,68.06,36
23,DIAZ Melanie (PUR),Female,519,245,47.21,28
24,CORDERO Lucia (GUA),Female,404,245,60.64,23
0,SHI Xunyao (CHN),Female,291,245,84.19,23
1,KEINATH Thomas (SVK),Male,419,244,58.23,47
2,WANG Yuegu (SGP),Female,346,244,70.52,44
3,SCHREINER Franziska (GER),Female,418,244,58.37,23
4,CNUDDE Florian (BEL),Male,418,243,58.13,26
5,CHO Daeseong (KOR),Male,369,243,65.85,22
6,STOYANOV Niagol (ITA),Male,477,242,50.73,37
7,ALAMIAN Nima (IRI),Male,417,242,58.03,32
8,STEFCOVA Kristyna (CZE),Female,459,242,52.72,28
9,HAN Ying (GER),Female,341,242,70.97,41
10,IIZUKA Leonardo (BRA),Male,301,242,80.40,18
11,OTALVARO Emanuel (COL),Male,336,242,72.02,14
12,LI Jiao (NED),Female,362,241,66.57,52
13,VARGAS Francesca (PER),Female,400,241,60.25,28
14,GAUTHIER Lucie (FRA),Female,374,241,64.44,25
15,MUTTI Matteo (ITA),Male,410,241,58.78,24
16,RILISKYTE Kornelija (LTU),Female,403,240,59.55,22
17,GASNIER Laura (FRA),Female,401,239,59.60,31
18,SAWETTABUT Jinnipa (THA),Female,410,239,58.29,24
19,DEVOS Laurens (BEL),Male,421,238,56.53,24
20,DE NODREST Leo (FRA),Male,356,238,66.85,24
